asset,entry_time_utc,exit_time_utc,side,entry_px,exit_px,holding_days,ecdf,signed_vpin,d25,vpin
suiusdt,2025-07-28T22:23:00,2025-07-29T19:30:00,-1,3.939,3.8199,0.8798611111111111,0.9983998030526834,-0.12382452933595546,-0.001011534458369906,0.18833165909802946
arbusdt,2025-07-29T10:08:00,2025-07-30T20:36:00,-1,0.4404,0.4134,1.4361111111111111,0.8919308357348703,-0.049503723147469085,-0.0014558627150849102,0.1416988845949107
avaxusdt,2025-07-29T10:11:00,2025-07-30T17:11:00,-1,24.764,23.324,1.2916666666666667,0.9728283244133388,-0.09702666998327164,-0.006893998593706874,0.14067156878975626
suiusdt,2025-07-29T20:17:00,2025-07-31T03:10:00,-1,3.8052,3.8282,1.2868055555555555,0.8121533341550597,-0.026663208358450666,-0.014003406214238123,0.15144744207708224
avaxusdt,2025-07-31T04:35:00,2025-08-01T13:25:00,-1,23.739,22.131,1.3680555555555556,0.9246128769356153,-0.04165316303124033,-0.0001411607916483315,0.12897431642944862
arbusdt,2025-07-31T07:20:00,2025-08-01T14:02:00,-1,0.429,0.3796,1.2791666666666666,0.890666126746305,-0.04573566601630597,-0.002512451473769689,0.14251348511672024
linkusdt,2025-07-31T13:26:00,2025-08-01T14:26:00,-1,17.67,16.68,1.0416666666666667,0.8119747899159664,-0.039023932828558816,-0.0022007392628175942,0.12062511397010159
suiusdt,2025-07-31T16:10:00,2025-08-01T12:50:00,-1,3.7593,3.4939,0.8611111111111112,0.8711641197664306,-0.030809564259926963,-0.0043513368724084345,0.15561318050201567
arbusdt,2025-08-01T14:09:00,2025-08-03T17:39:00,-1,0.385,0.3821,2.1458333333333335,0.9026284348864994,-0.05403286175937598,-0.001274142895887287,0.14596370765213312
avaxusdt,2025-08-01T19:11:00,2025-08-04T01:46:00,-1,21.802,21.742,2.2743055555555554,0.8822820409803134,-0.035522716365173415,-0.0009914580222759872,0.12534608089871702
linkusdt,2025-08-07T16:41:00,2025-08-08T06:25:00,1,17.941,19.107,0.5722222222222222,0.8436420179682101,0.013783483636036525,0.017586178382331855,0.12406256831251654
linkusdt,2025-08-08T06:27:00,2025-08-08T23:15:00,1,19.149,19.84,0.7,0.9030054644808743,0.002423884041178286,0.0005303466870453521,0.1321001232454343
linkusdt,2025-08-09T00:08:00,2025-08-09T11:56:00,-1,19.81,20.927,0.49166666666666664,0.989818428644154,-0.0007440554390034923,-0.019289092348697606,0.15146141429924317
linkusdt,2025-08-09T12:07:00,2025-08-10T02:25:00,1,20.931,21.44,0.5958333333333333,1.0,0.027622924187354538,0.01902769126669901,0.18160320965983975
linkusdt,2025-08-10T06:17:00,2025-08-10T16:35:00,1,21.771,22.494,0.42916666666666664,0.871684350132626,0.0026160572658734133,0.006720849068641205,0.13318950550340955
arbusdt,2025-08-10T16:23:00,2025-08-11T19:54:00,-1,0.4614,0.4444,1.1465277777777778,0.983284169124877,-0.034766960886454534,-0.001099850916530809,0.17036492624769067
linkusdt,2025-08-10T16:37:00,2025-08-11T10:04:00,-1,22.539,21.679,0.7270833333333333,0.985836627140975,-0.021288358079470243,-0.005147973737312017,0.17723542538325013
avaxusdt,2025-08-11T00:53:00,2025-08-12T11:24:00,-1,23.797,22.843,1.4381944444444446,0.9197080291970803,-0.06359887707867279,-0.000621488183478236,0.12915228881092053
linkusdt,2025-08-11T10:16:00,2025-08-11T23:19:00,-1,21.682,21.216,0.54375,0.9116492146596858,-0.044169465670400206,-0.004503564842549462,0.14216627717101277
suiusdt,2025-08-11T20:00:00,2025-08-13T00:40:00,-1,3.6924,3.9041,1.1944444444444444,0.8148297130598016,-0.06704634505946248,-0.0019482855005674427,0.14875053951697115
linkusdt,2025-08-12T02:27:00,2025-08-12T14:25:00,-1,21.601,23.075,0.4986111111111111,0.9373274882286086,-0.03277833471763596,-0.0014306310555497748,0.14995986579800438
arbusdt,2025-08-12T10:21:00,2025-08-13T09:53:00,-1,0.4375,0.4914,0.9805555555555555,0.9696376101860921,-0.07048568944362833,-0.00352662460898831,0.16608930826399973
avaxusdt,2025-08-12T11:53:00,2025-08-13T13:44:00,-1,22.955,25.029,1.0770833333333334,0.9647201946472019,-0.07154389080686985,-0.002641175772223281,0.13871876200971212
linkusdt,2025-08-12T14:28:00,2025-08-12T21:53:00,1,23.195,23.321,0.3090277777777778,0.917658411064651,0.016841581604649568,0.00037809869144450614,0.14701301539053824
