,basket,btcusdt,ethusdt,suiusdt,avaxusdt,linkusdt,equity
2024-09-09,-0.00497442936603671,0.0,0.0,-0.002925540930856979,0.0,-0.002048888435179731,0.08920721996912104
2024-09-10,-0.003613240182929643,0.0,0.0,-0.0015643517477499124,0.0,-0.002048888435179731,0.08559397978619139
2024-09-11,-0.002048888435179731,0.0,0.0,0.0,0.0,-0.002048888435179731,0.08354509135101167
2024-09-12,-0.0030400340045152333,0.0,0.0,-0.0010324079058773167,0.0,-0.0020076260986379166,0.08050505734649643
2024-09-13,-0.0007597302313449932,0.0,0.0,-0.0007597302313449932,0.0,0.0,0.07974532711515143
2024-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.07974532711515143
2024-09-15,-0.0002478787602388448,0.0,0.0,-0.0002478787602388448,0.0,0.0,0.07949744835491258
2024-09-16,-0.004548730350711013,0.0,0.0,-0.0016525250682589655,-0.0028962052824520476,0.0,0.07494871800420157
2024-09-17,-0.01015900830497097,0.0,0.0,-0.0051099337205509346,-0.005049074584420035,0.0,0.06478970969923059
2024-09-18,-0.00823527421087136,0.0,0.0,-0.0031861996264513238,-0.005049074584420035,0.0,0.05655443548835923
2024-09-19,-0.0005504893817735732,0.0,0.0,0.0,-0.0005504893817735732,0.0,0.056003946106585656
2024-09-20,-0.001013901351154816,0.0,0.0,-0.001013901351154816,0.0,0.0,0.05499004475543084
2024-09-21,-0.003187812108434356,0.0,0.0,-0.003187812108434356,0.0,0.0,0.05180223264699648
2024-09-22,-0.004946472138393331,0.0,0.0,-0.004946472138393331,0.0,0.0,0.04685576050860315
2024-09-23,0.0018856067270700198,-0.0014927286111623183,0.0,0.003378335338232338,0.0,0.0,0.04874136723567317
2024-09-24,-0.021482136499720143,-0.0017362917609642474,0.0,-0.019745844738755895,0.0,0.0,0.027259230735953027
2024-09-25,-0.003143850481608219,-0.0010068080697257964,0.0,-0.0021370424118824227,0.0,0.0,0.024115380254344808
2024-09-26,0.0004501476787758597,0.0,0.0,0.0004501476787758597,0.0,0.0,0.024565527933120668
2024-09-27,0.0013953112929028979,-0.0018957786838136865,0.0,0.0018393531127746414,0.001451736863941943,0.0,0.025960839226023567
2024-09-28,-0.0003430765213301044,-0.0048488833120634255,0.0,0.0022458056187588367,0.0022600011719744843,0.0,0.025617762704693462
2024-09-29,-0.007692660827449472,-0.0048488833120634255,0.0,-0.005103778687360531,0.0022600011719744843,0.0,0.01792510187724399
2024-09-30,0.008719567062439662,-0.0032501078013740725,0.0,0.008377591378608329,0.0035920834852054048,0.0,0.026644668939683654
2024-10-01,0.00527344104574645,0.007427459196489808,0.001945635131038748,-0.011550372654848432,0.0074848460935984,-3.41267205320742e-05,0.031918109985430106
2024-10-02,0.0126032277815006,0.0031268784126924766,0.008922657925782793,-0.0028641323738021183,0.0038307858131819586,-0.00041296199635451137,0.04452133776693071
2024-10-03,-0.009670501076499196,0.0001066562263612934,0.005471324269768199,-0.014835519576274176,0.0,-0.00041296199635451137,0.034850836690431514
