asset,lag,buy_n,buy_mean,buy_t,sell_n,sell_mean,sell_t,spread
injusdt,20,148,-0.043281462956676224,-5.363125635715864,1865,0.00335066091031114,1.2564207720137768,-0.04663212386698736
tiausdt,0,5,,,1384,-0.0008857304755678838,-0.4317685496142061,
tiausdt,1,5,,,1384,-0.0009070609311956473,-0.440557547214566,
tiausdt,2,5,,,1384,-0.000926832124383519,-0.45039232554947367,
tiausdt,5,5,,,1384,-0.0009164715178964036,-0.442416913900148,
tiausdt,10,5,,,1384,-0.0011962450899290016,-0.5671112392559615,
tiausdt,20,5,,,1384,-0.004978042762960228,-2.2301257233167644,
fetusdt,0,61,0.0004465837775896572,0.09068444281719665,2009,-0.02544416457160386,-10.211869440416928,0.025890748349193516
fetusdt,1,61,0.0009758411175542569,0.2168905919898647,2009,-0.02507853417105284,-10.118181845593108,0.026054375288607098
fetusdt,2,61,-0.000767121091061631,-0.16711174022905784,2009,-0.024532526164522866,-9.95097320182908,0.023765405073461237
fetusdt,5,61,-0.0024396031671713894,-0.5445794526547288,2009,-0.02314622490357786,-9.51154458855,0.02070662173640647
fetusdt,10,61,-0.002940370489802693,-0.6537091902568882,2009,-0.020596771297021005,-8.58603119261317,0.017656400807218312
fetusdt,20,61,0.01113579548317806,1.8925423563736803,2009,-0.01560828599492748,-6.609834501649186,0.02674408147810554
taousdt,0,781,-0.02207649405748369,-7.660292773840444,3985,-0.009860515399982459,-9.627096481587373,-0.012215978657501231
taousdt,1,781,-0.021880349487206432,-7.587758584726632,3985,-0.009905769456954988,-9.670841851332451,-0.011974580030251444
taousdt,2,781,-0.021770563524703326,-7.439121546928581,3985,-0.009956788778926052,-9.757965451910794,-0.011813774745777274
taousdt,5,781,-0.0212118770753625,-7.1517697100006785,3985,-0.010046958761894839,-9.882315582500855,-0.011164918313467663
taousdt,10,781,-0.018585746463784775,-7.790914988345346,3985,-0.010555780819159522,-9.827132249776229,-0.008029965644625253
taousdt,20,781,-0.016815358114164156,-8.03026897781394,3985,-0.011275211021051801,-10.271326028022495,-0.005540147093112355
rndrusdt,0,163,-0.021589326931531025,-3.939455641502069,1100,-0.01058508672615307,-5.807767414391917,-0.011004240205377954
rndrusdt,1,163,-0.021303847846897157,-3.903603976631899,1100,-0.010478522078620784,-5.756362996824636,-0.010825325768276373
rndrusdt,2,163,-0.020810829625469925,-3.813941347054326,1100,-0.010374712374962602,-5.7100579903573685,-0.010436117250507323
rndrusdt,5,163,-0.020130665041653374,-3.640992645370009,1100,-0.009995405493496406,-5.54164671551747,-0.010135259548156968
rndrusdt,10,163,-0.01938597052441656,-3.492657881516927,1100,-0.009171839251835524,-5.097327903770605,-0.010214131272581037
rndrusdt,20,163,-0.016327674845410783,-2.899672764900097,1100,-0.008667504930420811,-4.812294992755162,-0.007660169914989972
