asset,slice,feature,target,n,rho,p
suiusdt,oos_all,accel,signed_fret,21016,-0.004067420238029972,0.5554474136363109
suiusdt,oos_all,ar1_resid,signed_fret,21016,-0.003637822944035534,0.5979562563351192
suiusdt,high_vpin,delta_5,fret,4975,-0.001014833924072895,0.9429504800603659
suiusdt,high_vpin,delta_25,fret,4975,-0.00865028884696835,0.5418652537310147
suiusdt,high_vpin,accel,fret,4975,0.0074352586727690784,0.6000618170187122
suiusdt,high_vpin,ar1_resid,fret,4975,0.0024110174905980107,0.864997986255895
suiusdt,high_vpin,delta_5,signed_fret,4975,0.026643647466742637,0.060225948282051904
suiusdt,high_vpin,delta_25,signed_fret,4975,0.0407206966975043,0.004070444259330742
suiusdt,high_vpin,accel,signed_fret,4975,-0.005644060487765678,0.6906305619108558
suiusdt,high_vpin,ar1_resid,signed_fret,4975,-0.0018814589579602484,0.894452001553222
suiusdt,buy_dom,delta_5,fret,875,0.06922681331082323,0.0406300153744282
suiusdt,buy_dom,delta_25,fret,875,0.09038194055717018,0.007468714529422084
suiusdt,buy_dom,accel,fret,875,0.0017651036465493692,0.9584188362662339
suiusdt,buy_dom,ar1_resid,fret,875,-0.011603057673964542,0.7317910801141244
suiusdt,buy_dom,delta_5,signed_fret,875,0.06922681331082323,0.0406300153744282
suiusdt,buy_dom,delta_25,signed_fret,875,0.09038194055717018,0.007468714529422084
suiusdt,buy_dom,accel,signed_fret,875,0.0017651036465493692,0.9584188362662339
suiusdt,buy_dom,ar1_resid,signed_fret,875,-0.011603057673964542,0.7317910801141244
suiusdt,sell_dom,delta_5,fret,4100,-0.01849092379648751,0.23651718987488615
suiusdt,sell_dom,delta_25,fret,4100,-0.028739562711550894,0.06576106822764384
suiusdt,sell_dom,accel,fret,4100,0.006480259035378453,0.6782759700078065
suiusdt,sell_dom,ar1_resid,fret,4100,0.0009844008661810016,0.9497559884902933
suiusdt,sell_dom,delta_5,signed_fret,4100,0.01849092379648751,0.23651718987488615
suiusdt,sell_dom,delta_25,signed_fret,4100,0.028739562711550894,0.06576106822764384
suiusdt,sell_dom,accel,signed_fret,4100,-0.006480259035378453,0.6782759700078065
suiusdt,sell_dom,ar1_resid,signed_fret,4100,-0.0009844008661810016,0.9497559884902933
