sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
-1.9763,-2.9379,-0.6806,-0.8252,1084,0.7855,0.4374,1.0104,-0.001448,0.9523,0.0592,0.1466,3.5274,-0.8219,1086,-0.001448,0.016697,-2.8588,0.00433451,INJ,1h,macd_rsi_combo,combo,2h,F,False,False
-0.9938,-1.4829,-0.6351,-0.7718,959,0.8776,0.455,1.0511,-0.001136,0.9308,0.0533,0.3073,4.0264,-0.7558,978,-0.001136,0.024712,-1.4375,0.15089175,INJ,1h,macd_rsi_combo,combo,4h,F,False,False
-1.2474,-1.7843,-0.7414,-0.91,835,0.8373,0.4728,0.9336,-0.002166,0.8482,0.0461,0.4519,7.2145,-0.9046,846,-0.002166,0.034915,-1.8043,0.07153424,INJ,1h,macd_rsi_combo,combo,8h,F,False,False
-0.8218,-1.1534,-0.6924,-0.8848,594,0.8847,0.4672,1.0089,-0.001832,0.8603,0.0399,-0.0385,3.7342,-0.8625,732,-0.001832,0.041696,-1.1887,0.23493597,INJ,1h,macd_rsi_combo,combo,12h,F,False,False
-1.4253,-1.8525,-0.8246,-0.9779,481,0.774,0.4606,0.9065,-0.005378,0.9552,0.0263,-0.8718,4.2689,-0.9678,482,-0.005378,0.05727,-2.0618,0.03976807,INJ,1h,macd_rsi_combo,combo,1d,F,False,False
-1.7831,-2.5711,-0.6998,-0.8819,1681,0.8382,0.4653,0.9631,-0.00105,1.0035,0.092,0.0933,3.9008,-0.8659,1687,-0.00105,0.016726,-2.5792,0.0099866,INJ,1h,macd_rsi_fast,combo,2h,F,False,False
-0.6807,-0.9813,-0.5705,-0.8173,1459,0.9289,0.4744,1.0291,-0.000613,0.982,0.0799,0.111,3.9646,-0.7311,1465,-0.000613,0.023815,-0.9846,0.32497213,INJ,1h,macd_rsi_fast,combo,4h,F,False,False
-0.3341,-0.4914,-0.4984,-0.9162,1039,0.9607,0.4953,0.979,-0.000491,1.0324,0.0637,0.4501,6.309,-0.7209,1169,-0.000491,0.034742,-0.4833,0.62897919,INJ,1h,macd_rsi_fast,combo,8h,F,False,False
-0.7005,-1.0077,-0.6531,-0.9392,790,0.9119,0.4748,1.0088,-0.00133,0.9187,0.0508,0.0713,3.4661,-0.8631,931,-0.00133,0.040042,-1.0133,0.31119675,INJ,1h,macd_rsi_fast,combo,12h,F,False,False
-0.1524,-0.2219,-0.4841,-0.8983,488,0.9758,0.4843,1.039,-0.000511,1.0292,0.0313,-0.2375,2.4705,-0.6971,574,-0.000511,0.055552,-0.2204,0.82564524,INJ,1h,macd_rsi_fast,combo,1d,F,False,False
-2.0807,-2.9155,-0.6409,-0.7787,632,0.7217,0.4355,0.9354,-0.002114,0.8334,0.0347,-0.2122,2.0054,-0.7646,636,-0.002114,0.017714,-3.0097,0.00271838,INJ,1h,ema_vwap_combo,combo,2h,F,False,False
-0.8087,-1.1414,-0.5348,-0.6362,578,0.8752,0.4726,0.9767,-0.001187,0.8839,0.0318,-0.1252,1.6829,-0.5811,584,-0.001187,0.024525,-1.1698,0.24257708,INJ,1h,ema_vwap_combo,combo,4h,F,False,False
-0.7378,-0.9949,-0.5939,-0.7231,505,0.8729,0.5178,0.8129,-0.001687,0.8123,0.0276,0.2753,7.4666,-0.6909,506,-0.001687,0.035549,-1.0673,0.28636729,INJ,1h,ema_vwap_combo,combo,8h,F,False,False
-1.0713,-1.4042,-0.6757,-0.8217,452,0.8202,0.4945,0.8385,-0.002918,0.7606,0.0247,-0.4861,1.9211,-0.8164,453,-0.002918,0.040078,-1.5497,0.12192521,INJ,1h,ema_vwap_combo,combo,12h,F,False,False
-0.6906,-1.0716,-0.6444,-0.8626,341,0.8636,0.4723,0.9649,-0.003196,0.9226,0.0187,0.4359,3.7759,-0.817,343,-0.003196,0.059245,-0.9989,0.3185293,INJ,1h,ema_vwap_combo,combo,1d,F,False,False
-1.5754,-1.6364,-0.4967,-0.6185,192,0.6393,0.4825,0.6857,-0.002783,0.7719,0.014,-3.3572,29.5909,-0.5361,257,-0.002783,0.019577,-2.2789,0.02349893,INJ,1h,stoch_bb_combo,combo,2h,F,False,False
-0.9745,-1.0507,-0.4522,-0.6281,236,0.7535,0.472,0.8429,-0.002411,0.7712,0.0136,-2.0438,14.6507,-0.5029,250,-0.002411,0.027046,-1.4096,0.1599172,INJ,1h,stoch_bb_combo,combo,4h,F,False,False
-0.1701,-0.2154,-0.2043,-0.6174,169,0.9555,0.5148,0.9007,-0.000562,0.749,0.0129,-0.5036,3.2545,-0.2458,237,-0.000562,0.035201,-0.246,0.80590456,INJ,1h,stoch_bb_combo,combo,8h,F,False,False
-0.7158,-0.9096,-0.4476,-0.7317,169,0.8258,0.4744,0.9151,-0.00272,0.7879,0.0128,-0.5557,2.3056,-0.564,234,-0.00272,0.040182,-1.0354,0.3015367,INJ,1h,stoch_bb_combo,combo,12h,F,False,False
-0.7446,-1.1009,-0.5454,-0.8192,195,0.8204,0.445,1.0233,-0.004261,0.8296,0.0114,-0.061,1.2647,-0.7102,209,-0.004261,0.057186,-1.0771,0.28266957,INJ,1h,stoch_bb_combo,combo,1d,F,False,False
-1.3032,-1.9764,-0.4911,-0.4449,153,0.7439,0.4652,0.8551,-0.001768,0.8629,0.0149,-0.0559,0.286,-0.403,273,-0.001768,0.015495,-1.8851,0.06048092,INJ,1h,channel,priceaction,2h,F,False,False
-0.4431,-0.6571,-0.2919,-0.4021,135,0.901,0.4902,0.9371,-0.000817,0.9637,0.0139,-0.2066,0.7644,-0.2299,255,-0.000817,0.020346,-0.641,0.52209269,INJ,1h,channel,priceaction,4h,F,False,False
