strategy,variant,strategy_type,timeframe,asset,holding_period,holding_bars,n_trades,n_long,n_short,mean_return,std_return,sharpe,t_stat,p_value,win_rate,max_drawdown,profit_factor,total_return,mean_long,mean_short,mean_price_ret,mean_funding_ret,total_funding_pnl,test_bars
funding_carry,zscore_1.5,carry,1d,FET,3d,3,50,39,11,-0.026533046325302866,0.1181496057316187,-1.0961547954324824,-1.5879610317766415,0.11872777558184895,0.4,-0.782448106575411,0.540236699924499,-0.8218901256110421,-0.020077974250229138,-0.049419210955109726,-0.02633845352530287,0.0008054072000000001,0.040270360000000005,766
funding_carry,zscore_1.5,carry,1d,FET,1w,7,35,29,6,-0.045304095132575495,0.1915707176321339,-0.9657715419267362,-1.399079382372652,0.17084619930371903,0.3142857142857143,-0.8375722442344982,0.5500853298276792,-0.8982165307980889,-0.019353580202146586,-0.1707315839629819,-0.04545467684686121,0.0011505817142857143,0.04027036,766
funding_carry,zscore_2.0,carry,1d,FET,3d,3,38,30,8,-0.028033080306505427,0.10850634469366373,-1.0993589931144119,-1.5926028406509125,0.11975778815849743,0.39473684210526316,-0.6616816023001131,0.48065236591134075,-0.7368733880814651,-0.01907213562617986,-0.061636622857726316,-0.027850120306505424,0.0008170400000000001,0.031047520000000002,766
funding_carry,extreme_90,carry,1d,FET,3d,3,61,51,10,-0.014631038844906073,0.09429371105117297,-0.8365451775570925,-1.211873677711021,0.23031166318744772,0.3770491803278688,-0.7351987528017712,0.6757925678792251,-0.6895891762186579,-0.01249804612570517,-0.025509301712830675,-0.01421834851703722,0.0005873096721311476,0.03582589,766
funding_carry,extreme_90,carry,1d,FET,1w,7,39,33,6,-0.010360917510255202,0.1656117723470878,-0.2696940480620794,-0.39069631461650406,0.6982035620972111,0.4358974358974359,-0.7773271203306349,0.8406875578836543,-0.5930961591279245,-0.007933773687553608,-0.023710208535113953,-0.010279530074357765,0.0009186125641025641,0.03582589,766
funding_carry,simple_0.01_7d,carry,1d,TIA,3d,3,69,43,26,63.91943272348971,530.4739901723166,0.7087190478639438,1.0009061612854069,0.3204206596454943,0.5217391304347826,-5.348069248573236,1048.3608833238231,-7.744305190553869,0.009508480206177911,169.61661512584325,63.91967648146071,0.0007562420289855073,0.0521807,728
funding_carry,simple_0.01_7d,carry,1d,TIA,1w,7,34,22,12,0.03669461299740034,0.2403926061471805,0.6302333878757449,0.8900628293734067,0.37987527845721764,0.6176470588235294,-0.7208898185634909,1.5025676230881988,0.3630780442719266,0.0304258595528652,0.04818732764571474,0.0361598865268121,0.0015347264705882352,0.052180699999999997,728
funding_carry,zscore_1.5,carry,1d,TIA,3d,3,40,37,3,11.48960524953188,72.1834500049962,0.7128172660271441,1.0066939721565866,0.32028724988055035,0.55,-0.44049800166455977,265.3253881001346,2751.177062992761,12.385504373677355,0.44018271840436074,11.48981897478188,0.0007862747499999999,0.03145099,728
funding_carry,zscore_2.0,carry,1d,TIA,3d,3,31,30,1,14.796344040739289,81.99613142813612,0.7114143931461087,1.0047127299219367,0.32307070396976956,0.41935483870967744,-0.5227031550289079,280.51381576478656,1203.4359313003508,15.25506654129335,1.0346690241174095,14.796507712029609,0.0008363287096774193,0.025926189999999998,728
funding_carry,extreme_90,carry,1d,TIA,3d,3,45,33,12,0.015119306077394522,0.13700256348509743,0.5241917301779269,0.7403028520416842,0.4630484646641062,0.5333333333333333,-0.4413773727806716,1.3486833343823847,0.32568237872579364,0.01067723251242983,0.027335008381047434,0.015364221855172302,0.0007550842222222222,0.03397879,728
funding_carry,extreme_90,carry,1d,TAO,3d,3,31,29,2,0.0036204944612579244,0.0955139830475796,0.2140001284341112,0.21104826114490227,0.8342766946034998,0.45161290322580644,-0.5175880991982449,1.110903686133878,-0.01767034204221285,0.0037783592345882475,0.0013314552479682766,0.00433911026770954,0.0002813841935483871,0.00872291,355
funding_carry,simple_0.01_7d,carry,1d,INJ,3d,3,45,6,39,0.011586193621640204,0.09896293863218768,0.4797902969422356,0.78537026779545,0.43644525560309566,0.5333333333333333,-0.42913766530503206,1.3260182373632634,0.36297166732018415,0.0554998297079721,0.004830249608358371,0.011872702732751315,0.0007134908888888888,0.03210709,978
funding_carry,zscore_1.5,carry,1d,INJ,3d,3,47,38,9,-0.001196684174210145,0.08117702396408849,-0.06174081469557637,-0.10106373655408031,0.9199390939420402,0.5106382978723404,-0.5038673199960266,0.9631999516643723,-0.190416954901808,-0.00735605346867903,0.02480954173576958,-0.0005647641742101465,0.00036808000000000007,0.017299760000000004,978
funding_carry,zscore_1.5,carry,1d,INJ,1w,7,33,28,5,-0.0348370822870983,0.12355354716046697,-0.9895107821584641,-1.6197333562663547,0.11510441447307013,0.3333333333333333,-0.8214444163849806,0.4953644452795613,-0.7630342995019613,-0.04745846510627979,0.035842661500317986,-0.03436131743861345,0.0005242351515151515,0.01729976,978
funding_carry,zscore_2.0,carry,1d,INJ,3d,3,31,25,6,-0.01565221242030757,0.07370753144293576,-0.7223068251388306,-1.1823463465291009,0.24635498924360713,0.45161290322580644,-0.5105458265255498,0.5730821942413761,-0.4371922968662115,-0.016400890764516854,-0.012532719319435537,-0.015092307259017244,0.00044009483870967737,0.01364294,978
funding_carry,extreme_90,carry,1d,INJ,3d,3,60,52,8,0.004876704715649977,0.10895368455056634,0.21180546826733818,0.34670504675438923,0.7300464560307836,0.45,-0.4593787137569655,1.1288834409444202,-0.04390621044609355,0.003256175442802464,0.015410144989158782,0.005608337548983307,0.0002683671666666667,0.01610203,978
funding_carry,extreme_90,carry,1d,INJ,1w,7,38,33,5,-0.003203149362962923,0.12799412638605098,-0.09424448660990045,-0.15426910081087677,0.8782359789754925,0.47368421052631576,-0.6201196941813347,0.9411891601599025,-0.3496695535424924,-0.0013983503265487527,-0.015114823003296474,-0.0026268869945418735,0.00042373763157894744,0.016102030000000003,978
nr_trend,nr4_ema50,breakout,1d,BTC,3d,3,62,32,30,-0.000680637725479594,0.039660313193213156,-0.07138357305078613,-0.13513122762462015,0.8929530380551288,0.41935483870967744,-0.2746504772691374,0.9522263829837849,-0.08590713894997415,0.013191873302799539,-0.015477982822310669,0.00031936227452040685,0.0,0.0,1308
nr_trend,nr4_ema50,breakout,1d,BTC,1w,7,54,30,24,0.0011969927296534382,0.06564307898574012,0.07078512597427486,0.13399834950348996,0.8939114208983215,0.46296296296296297,-0.3720922895807959,1.0506044816020217,-0.048525929869597806,0.014076512633081583,-0.014902407149631744,0.002196992729653439,0.0,0.0,1308
nr_trend,nr4_ema50,breakout,1d,BTC,2w,14,43,21,22,-0.0037815757833987457,0.09381516065352472,-0.1396293028218951,-0.26432242456214133,0.7928242559282551,0.4186046511627907,-0.5968516517261926,0.8852581663927256,-0.2893137189948013,0.012436865140398672,-0.019262814847023555,-0.002781575783398745,0.0,0.0,1308
nr_trend,nr4_ema50_adx,breakout,1d,BTC,3d,3,37,19,18,-0.008767942713586746,0.04224217617076313,-0.6669524042529658,-1.2625607447497005,0.21486459739129696,0.3783783783783784,-0.29384503057120914,0.5399865666640278,-0.3009634935587223,0.009536664463740662,-0.028089472511876785,-0.007767942713586744,0.0,0.0,1308
nr_trend,nr4_ema50_adx,breakout,1d,BTC,1w,7,34,17,17,-0.0050317416683029826,0.07013638411943757,-0.22098204222689452,-0.41832558070287085,0.6784190204203827,0.38235294117647056,-0.4417415978624012,0.8196782247529144,-0.22299700042244475,0.006453046583931578,-0.016516529920537544,-0.004031741668302982,0.0,0.0,1308
nr_trend,nr4_ema20,breakout,1d,BTC,3d,3,86,47,39,-0.0006247581481038177,0.04408242331715978,-0.06942857539356904,-0.13143035889344795,0.8957454642060085,0.4186046511627907,-0.3161662516151079,0.9572197078614451,-0.1252782374701732,0.007693807743192655,-0.010649696529922644,0.0003752418518961831,0.0,0.0,1308
nr_trend,nr4_ema20,breakout,1d,BTC,1w,7,72,40,32,0.0017156266529606834,0.07280652846620145,0.10562367387268556,0.19994875720894348,0.8420922456352159,0.4722222222222222,-0.4244443581934887,1.0687921126897537,-0.057952512132988465,0.011679500155862384,-0.010739215225666444,0.0027156266529606843,0.0,0.0,1308
nr_trend,nr4_ema20,breakout,1d,BTC,2w,14,49,27,22,0.01753471179316997,0.10502988620498262,0.6173427288897768,1.1686481532755089,0.24831683438896884,0.5510204081632653,-0.3742727297688758,1.6681752767619813,0.8421071482777418,0.03388710056833295,-0.0025341289763482285,0.018534711793169973,0.0,0.0,1308
nr_trend,nr4_ema50_relaxed,breakout,1d,BTC,3d,3,111,66,45,-0.001088656192073886,0.04594239791285826,-0.13188066784755906,-0.249654028014491,0.8033205284668848,0.38738738738738737,-0.3993407631508329,0.9322695858454828,-0.20783749710860722,0.006335828859870879,-0.011977900934926209,-8.865619207388509e-05,0.0,0.0,1308
nr_trend,nr4_ema50_relaxed,breakout,1d,BTC,1w,7,89,54,35,0.001389061568781637,0.06500764926002545,0.10648651096287856,0.20158213349223608,0.8407086570889531,0.449438202247191,-0.37622368397106887,1.0609031591698213,-0.05731043226847621,0.010675697003809034,-0.012938890245260633,0.002389061568781638,0.0,0.0,1308
nr_trend,nr4_ema50_relaxed,breakout,1d,BTC,2w,14,62,36,26,0.021725510218383832,0.09592035365765778,0.9421013327903975,1.783425852838495,0.07949184739849974,0.532258064516129,-0.30461953320485124,1.9791471695550544,1.935431962727976,0.034590291273714296,0.003912736449464724,0.022725510218383833,0.0,0.0,1308
nr_trend,nr7_ema50,breakout,1d,BTC,3d,3,42,20,22,-0.002840050953550618,0.046119627334120276,-0.21081793154285697,-0.3990846167703238,0.6919020196900159,0.40476190476190477,-0.28554440950762205,0.8443260187580659,-0.15019943323304175,0.017244345879974383,-0.021098593529482436,-0.0018400509535506173,0.0,0.0,1308
nr_trend,nr7_ema50,breakout,1d,BTC,1w,7,38,19,19,0.005567443605992025,0.07014929601308145,0.2584442464226421,0.4892426478395069,0.6275578137409982,0.47368421052631576,-0.44159778794462223,1.234901655247474,0.12843468802646907,0.018559035839962452,-0.007424148627978402,0.006567443605992026,0.0,0.0,1308
nr_trend,nr7_ema50,breakout,1d,BTC,2w,14,35,17,18,-0.0014788119333370067,0.10289861777289327,-0.04491381935543609,-0.08502319633807777,0.9327416404249061,0.42857142857142855,-0.621452093248548,0.9584279914432612,-0.20174413795549162,0.013723773842703284,-0.015836809610708394,-0.0004788119333370057,0.0,0.0,1308
nr_trend,nr7_ema20,breakout,1d,BTC,3d,3,61,32,29,0.0012596860553532514,0.049460532720056335,0.10507780929115622,0.19891541931527457,0.8430014318113948,0.4262295081967213,-0.29111984589584805,1.0800199065375378,0.00614907799283726,0.012147587102563272,-0.01075454958294746,0.0022596860553532523,0.0,0.0,1308
nr_trend,nr7_ema20,breakout,1d,BTC,1w,7,56,30,26,0.007076146261310237,0.07465703631221975,0.37468182695286645,0.7092838461413883,0.48114440392256513,0.5,-0.3317414719014723,1.3126610333164577,0.28132409387094315,0.018598220676536176,-0.006218554987027387,0.008076146261310238,0.0,0.0,1308
nr_trend,nr7_ema20,breakout,1d,BTC,2w,14,43,22,21,0.03230298696756381,0.11450383109879533,0.9772359891253112,1.8499368026242133,0.0713666999209001,0.5813953488372093,-0.36564721142437195,2.4594461663089913,2.0741747047278274,0.056399803275317566,0.0070587032165836715,0.033302986967563813,0.0,0.0,1308
