sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,n_long,n_short,mean_long,mean_short,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
-4.3392,-5.4672,-0.9718,-0.9436,1311,0.6922,0.4634,0.8015,-0.00195,0.7109,0.0114,-0.394,3.9635,-0.9342,1312,-0.00195,0.01557,-4.537,6.23e-06,677,635,-0.0017943007420745953,-0.00211662599530709,ETH,5m,rsi_extreme,mean_reversion,4h,F,False,False
-24.5061,-38.9433,-1.0,-1.0,15613,0.5524,0.3451,1.0484,-0.000997,0.876,0.1367,1.3632,19.8893,-1.0,15725,-0.000997,0.004879,-25.6232,0.0,7866,7859,-0.0010100727818586803,-0.0009838982844759467,ETH,5m,momentum,trend,15m,F,False,False
-8.829,-13.4435,-0.9988,-0.9988,6331,0.7108,0.4028,1.0537,-0.001002,0.9126,0.0553,0.7549,7.7798,-0.9986,6355,-0.001002,0.008652,-9.2314,0.0,3128,3227,-0.0009878083158932336,-0.001015501650832435,ETH,5m,momentum,trend,1h,F,False,False
-1.6859,-2.5466,-0.9155,-0.8219,1338,0.8931,0.4515,1.0851,-0.000622,1.0619,0.0177,0.448,4.9688,-0.7827,2040,-0.000622,0.015929,-1.7627,0.07809968,1004,1036,-0.0005494325931466358,-0.0006916600379433887,ETH,5m,momentum,trend,4h,F,False,False
-17.9531,-28.6328,-0.9995,-0.9994,6833,0.5084,0.3039,1.1648,-0.001073,0.8788,0.0596,1.1826,13.2415,-0.9994,6852,-0.001073,0.004733,-18.7715,0.0,3461,3391,-0.0011939199395023853,-0.0009501485677098264,ETH,5m,range_breakout,trend,15m,F,False,False
-8.5815,-12.7611,-0.9968,-0.9943,4323,0.6625,0.3759,1.0999,-0.001154,0.9676,0.0377,0.5456,8.3531,-0.9943,4336,-0.001154,0.008468,-8.9727,0.0,2194,2142,-0.0010745099609338483,-0.0012351893592570308,ETH,5m,range_breakout,trend,1h,F,False,False
-2.4319,-3.6376,-0.9506,-0.88,1857,0.8415,0.4339,1.0977,-0.000937,1.04,0.0162,0.3518,4.7633,-0.862,1862,-0.000937,0.015898,-2.5428,0.0110782,951,911,-0.000796024454007618,-0.0010838310874641585,ETH,5m,range_breakout,trend,4h,F,False,False
-26.9039,-39.1654,-1.0,-1.0,11762,0.4618,0.3271,0.9501,-0.000973,0.7045,0.1023,0.6288,10.6771,-1.0,11768,-0.000973,0.003752,-28.1303,0.0,5886,5882,-0.0009866225970610414,-0.0009594184537909223,ETH,5m,macd_scalp,trend,15m,F,False,False
-11.3159,-15.0324,-0.9994,-0.9995,6412,0.6335,0.4026,0.9402,-0.001123,0.7984,0.0559,-0.1795,12.5404,-0.9994,6424,-0.001123,0.007609,-11.8317,0.0,3215,3209,-0.0010775766668936495,-0.0011689348012154598,ETH,5m,macd_scalp,trend,1h,F,False,False
-4.0423,-5.432,-0.9814,-0.9656,2128,0.7591,0.4444,0.9491,-0.001395,0.8376,0.0185,0.0687,9.5294,-0.9602,2131,-0.001395,0.015241,-4.2266,2.473e-05,1086,1045,-0.0014217376327523286,-0.001368138950447615,ETH,5m,macd_scalp,trend,4h,F,False,False
