sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,holding,grade
0.1327,0.1949,-0.2908,-0.8359,89,1.049,0.4771,1.1499,0.002218,0.971,0.0238,-0.283,0.6573,-0.4416,109,0.002218,0.120628,0.192,0.84810319,AVAX,4h,EWMAC_16_64,1w,D
0.1565,0.2673,-0.2813,-0.7469,691,1.0214,0.4817,1.0992,0.00037,1.1329,0.1666,0.2413,0.614,-0.3895,764,0.00037,0.045208,0.2264,0.82093063,AVAX,4h,DualMom_63,1d,D
0.438,0.7533,0.0035,-0.7922,127,1.1043,0.4921,1.1396,0.003145,1.1015,0.0554,0.0455,-0.25,0.0058,254,0.003145,0.079114,0.6335,0.52698761,AVAX,4h,DualMom_63,3d,D
1.1819,1.894,1.4654,-0.6116,37,1.5326,0.5596,1.206,0.01947,1.3042,0.0238,-0.117,0.7468,2.8144,109,0.01947,0.118906,1.7095,0.09022142,AVAX,4h,DualMom_63,1w,C
-0.0018,-0.0031,-0.4148,-0.751,691,0.9998,0.4764,1.0986,-4e-06,1.1557,0.1666,0.2211,0.6233,-0.542,764,-4e-06,0.045218,-0.0026,0.99793093,AVAX,4h,DualMom_126,1d,F
0.0945,0.166,-0.3308,-0.7774,230,1.0216,0.4843,1.0881,0.000679,1.0961,0.0554,0.116,-0.2492,-0.4632,254,0.000679,0.079205,0.1367,0.89141146,AVAX,4h,DualMom_126,3d,D
0.1542,0.2286,-0.3143,-0.7254,85,1.0572,0.5229,0.9645,0.002577,1.0388,0.0238,-0.2605,0.6582,-0.4181,109,0.002577,0.120618,0.2231,0.82390354,AVAX,4h,DualMom_126,1w,D
0.7695,1.2155,0.488,-0.5899,179,1.1233,0.5199,1.0375,0.002293,1.3051,0.1664,0.513,4.4827,0.4686,554,0.002293,0.056907,0.9484,0.34331939,FTM,4h,EWMAC_8_32,1d,C
0.138,0.2002,-0.4564,-0.8856,93,1.0348,0.4783,1.1288,0.001303,0.9719,0.0553,-0.1597,2.1073,-0.5446,184,0.001303,0.103862,0.1701,0.86510294,FTM,4h,EWMAC_8_32,3d,D
1.9523,4.1508,8.1231,-0.4213,15,2.1027,0.6076,1.358,0.038007,1.801,0.0237,0.7604,1.3582,8.5678,79,0.038007,0.140392,2.4062,0.01848607,FTM,4h,EWMAC_8_32,1w,C
